id;type;x;y
0x7f80307107f0;char_line;[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0, 1.1, 1.2000000000000002, 1.3, 1.4000000000000001, 1.5, 1.6, 1.7000000000000002, 1.8, 1.9000000000000001, 2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5];[0.0, 0.164, 0.283, 0.389, 0.488, 0.581, 0.67, 0.756, 0.84, 0.921, 1.0, 1.078, 1.154, 1.228, 1.302, 1.374, 1.446, 1.516, 1.585, 1.654, 1.722, 1.789, 1.855, 1.921, 1.986, 2.051]
0x7f80307104e0;char_line;[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0, 1.1, 1.2000000000000002, 1.3, 1.4000000000000001, 1.5, 1.6, 1.7000000000000002, 1.8, 1.9000000000000001, 2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5];[0.0, 0.245, 0.375, 0.48, 0.572, 0.655, 0.732, 0.804, 0.873, 0.938, 1.0, 1.06, 1.118, 1.174, 1.228, 1.281, 1.332, 1.382, 1.431, 1.479, 1.526, 1.572, 1.618, 1.662, 1.706, 1.749]
0x7f8030734fd0;char_line;[0, 1];[1, 1]
0x7f80306d60b8;char_line;[0.071, 0.282, 0.635, 0.776, 0.917, 1.0, 1.128, 1.27, 1.41, 1.763, 2.115, 2.5];[0.25, 0.547, 0.9, 0.965, 0.995, 1.0, 0.99, 0.959, 0.911, 0.737, 0.519, 0.25]
0x7f80306d60f0;char_line;[0, 1];[1, 1]
0x7f8030710a58;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645]
0x7f80306d6320;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645]
0x7f8030710a20;char_line;[0.0, 0.00412, 0.0076, 0.01101, 0.01488, 0.0211, 0.02758, 0.0362, 0.04751, 0.06206, 0.08041, 0.10312, 0.13073, 0.1638, 0.20288, 0.24854, 0.30132, 0.37528, 0.45378, 0.54212, 0.64561, 0.76955, 0.91927, 1.0, 1.10006, 1.31723, 1.57609, 1.88195, 2.24011, 2.65589, 3.0];[0.01, 0.04969, 0.10554, 0.16642, 0.2312, 0.29888, 0.36806, 0.43773, 0.50677, 0.57404, 0.6384, 0.69873, 0.75388, 0.80274, 0.84415, 0.87699, 0.90012, 0.92187, 0.94082, 0.95729, 0.97163, 0.98417, 0.99525, 1.0, 1.00521, 1.01439, 1.02312, 1.03175, 1.0406, 1.05002, 1.0575]
0x7f80306d6358;char_line;[0.0, 0.10449, 0.23774, 0.40054, 0.59243, 0.81296, 1.0, 1.0617, 1.33818, 1.64196, 1.97259, 2.32963, 2.71261, 3.0012];[0.01, 0.21181, 0.40637, 0.58484, 0.74792, 0.89627, 1.0, 1.03058, 1.15152, 1.25977, 1.35602, 1.44093, 1.51519, 1.562]
0x7f80306d6080;char_line;[0.49, 0.55782, 0.62612, 0.69418, 0.76132, 0.82682, 0.89, 0.95016, 1.00659, 1.04326, 1.07753, 1.10916, 1.13795, 1.16365, 1.18604, 1.2049, 1.22];[0.78, 0.82066, 0.86025, 0.89742, 0.93083, 0.95914, 0.981, 0.99507, 1.0, 0.99733, 0.98913, 0.97496, 0.95435, 0.92687, 0.89205, 0.84944, 0.79859]
0x7f80306d62b0;char_line;[0.49, 0.55782, 0.62612, 0.69418, 0.76132, 0.82682, 0.89, 0.95016, 1.00659, 1.04326, 1.07753, 1.10916, 1.13795, 1.16365, 1.18604, 1.2049, 1.22];[0.78, 0.82066, 0.86025, 0.89742, 0.93083, 0.95914, 0.981, 0.99507, 1.0, 0.99733, 0.98913, 0.97496, 0.95435, 0.92687, 0.89205, 0.84944, 0.79859]
0x7f80306d63c8;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645]
0x7f8030704fd0;char_line;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[102.04081632653062, 3.241449057386614, 1.9087320674622263, 1.4911707778245011, 1.3023716187176848, 1.203737363767024, 1.1484616356390616, 1.1158099106236261, 1.0950935428904338, 1.0805974407130214, 1.068937946014358, 1.0587343466126855, 1.0493707972699569, 1.0405957202379217, 1.033010896198933, 1.0267741630763796, 1.0222482100433843, 1.019490621705771, 1.0183714204244572, 1.018879843500056, 1.0204081632653061, 1.0227605124439272, 1.0258451425206656, 1.029779153562727, 1.0356319529740243, 1.0580756566417524]
0x7f8030704b00;char_line;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[102.04081632653062, 3.241449057386614, 1.9087320674622263, 1.4911707778245011, 1.3023716187176848, 1.203737363767024, 1.1484616356390616, 1.1158099106236261, 1.0950935428904338, 1.0805974407130214, 1.068937946014358, 1.0587343466126855, 1.0493707972699569, 1.0405957202379217, 1.033010896198933, 1.0267741630763796, 1.0222482100433843, 1.019490621705771, 1.0183714204244572, 1.018879843500056, 1.0204081632653061, 1.0227605124439272, 1.0258451425206656, 1.029779153562727, 1.0356319529740243, 1.0580756566417524]
0x7f80307046d8;char_line;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[102.04081632653062, 3.241449057386614, 1.9087320674622263, 1.4911707778245011, 1.3023716187176848, 1.203737363767024, 1.1484616356390616, 1.1158099106236261, 1.0950935428904338, 1.0805974407130214, 1.068937946014358, 1.0587343466126855, 1.0493707972699569, 1.0405957202379217, 1.033010896198933, 1.0267741630763796, 1.0222482100433843, 1.019490621705771, 1.0183714204244572, 1.018879843500056, 1.0204081632653061, 1.0227605124439272, 1.0258451425206656, 1.029779153562727, 1.0356319529740243, 1.0580756566417524]
0x7f80307100b8;char_line;[0, 3];[-1, -1]
0x7f8030710400;char_line;[0, 3];[-1, -1]
0x7f8030710358;char_line;[0, 3];[-1, -1]
